index,lat,lon,value,dataDate,dataTime,validityDate,validityTime,name,shortname,units
99650,51.987477,-9.511308,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100179,52.009500,-9.518695,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100180,52.014044,-9.482912,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100705,52.017819,-9.633444,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100706,52.022398,-9.597666,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100707,52.026966,-9.561881,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100708,52.031523,-9.526089,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
100709,52.036069,-9.490289,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101234,52.039835,-9.640897,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101235,52.044416,-9.605103,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101236,52.048986,-9.569300,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101237,52.053546,-9.533491,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101238,52.058094,-9.497674,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101763,52.061850,-9.648358,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101764,52.066434,-9.612546,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
101765,52.071006,-9.576727,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
102291,52.079268,-9.691648,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
102292,52.083865,-9.655826,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
102294,52.093026,-9.584161,0.000000,20121201,0,20121201,100,Direct normal irradiance,dni,W m**-2
99650,51.987477,-9.511308,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100179,52.009500,-9.518695,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100180,52.014044,-9.482912,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100705,52.017819,-9.633444,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100706,52.022398,-9.597666,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100707,52.026966,-9.561881,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100708,52.031523,-9.526089,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
100709,52.036069,-9.490289,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101234,52.039835,-9.640897,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101235,52.044416,-9.605103,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101236,52.048986,-9.569300,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101237,52.053546,-9.533491,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101238,52.058094,-9.497674,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101763,52.061850,-9.648358,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101764,52.066434,-9.612546,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
101765,52.071006,-9.576727,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
102291,52.079268,-9.691648,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
102292,52.083865,-9.655826,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
102294,52.093026,-9.584161,0.000000,20121201,0,20121201,200,Direct normal irradiance,dni,W m**-2
99650,51.987477,-9.511308,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100179,52.009500,-9.518695,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100180,52.014044,-9.482912,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100705,52.017819,-9.633444,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100706,52.022398,-9.597666,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100707,52.026966,-9.561881,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100708,52.031523,-9.526089,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
100709,52.036069,-9.490289,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101234,52.039835,-9.640897,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101235,52.044416,-9.605103,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101236,52.048986,-9.569300,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101237,52.053546,-9.533491,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101238,52.058094,-9.497674,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101763,52.061850,-9.648358,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101764,52.066434,-9.612546,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
101765,52.071006,-9.576727,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
102291,52.079268,-9.691648,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
102292,52.083865,-9.655826,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
102294,52.093026,-9.584161,0.000000,20121201,0,20121201,300,Direct normal irradiance,dni,W m**-2
99650,51.987477,-9.511308,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100179,52.009500,-9.518695,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100180,52.014044,-9.482912,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100705,52.017819,-9.633444,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100706,52.022398,-9.597666,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100707,52.026966,-9.561881,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100708,52.031523,-9.526089,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
100709,52.036069,-9.490289,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101234,52.039835,-9.640897,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101235,52.044416,-9.605103,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101236,52.048986,-9.569300,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101237,52.053546,-9.533491,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101238,52.058094,-9.497674,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101763,52.061850,-9.648358,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101764,52.066434,-9.612546,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
101765,52.071006,-9.576727,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
102291,52.079268,-9.691648,0.000000,20121201,300,20121201,400,Direct normal irradiance,dni,W m**-2
